rank,base_product,suggested_product,recommendation_basis,commercial_review,location_priority_bucket,location_proximity,priority_bucket,score,base_customer_count,base_order_count,base_product_last_seen_date,base_product_orders_last_12m,base_product_live_title,base_product_url,base_product_url_confidence,base_product_locality,base_product_country,base_product_continent,suggested_customer_count,suggested_product_last_seen_date,suggested_product_orders_last_12m,suggested_product_recent_activity_weight,suggested_product_live_title,suggested_product_url,suggested_product_url_match_score,suggested_product_url_match_gap,suggested_product_url_confidence,suggested_product_locality,suggested_product_country,suggested_product_continent,overlap_customer_count,later_customer_count,later_customer_weighted_12m,post_purchase_rate,same_order_count,same_order_weighted_12m,same_order_rate,phi_coefficient,lift,recency_weighted_score,confidence_flag,suggested_product_url_clean
2,⭐ Best Rated | Flamengo Matchd…,Brazil Game Experience at Mara…,later_lifecycle,approved_same_city,0,same_city,3,21.443001,179,187,2026-04-13,187,"⭐ Best Rated | Flamengo Matchday at Maracanã – Tickets, Pre Match Experience & Local Host",https://homefans.com/product/flamengo-match-day-experience-tour/,high,Rio de Janeiro,Brazil,South America,1,2025-08-17,1,1.345205,Brazil Game Experience at Maracanã Stadium with a Local Fan,https://homefans.com/product/brazil-game-experience-at-maracana-stadium-with-a-local-fan/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.425,0.934,high,Rio de Janeiro,Brazil,South America,1,1,1.345205,0.005587,0,0.0,0.0,0.073114,23.061453,21.443001,medium,https://homefans.com/product/brazil-game-experience-at-maracana-stadium-with-a-local-fan/
3,⭐ Best Rated | Flamengo Matchd…,Botafogo Matchday Experience w…,later_lifecycle,approved_same_city,0,same_city,5,209.273267,179,187,2026-04-13,187,"⭐ Best Rated | Flamengo Matchday at Maracanã – Tickets, Pre Match Experience & Local Host",https://homefans.com/product/flamengo-match-day-experience-tour/,high,Rio de Janeiro,Brazil,South America,167,2026-04-13,168,269.446588,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.631,0.251,high,Rio de Janeiro,Brazil,South America,3,3,5.035617,0.01676,0,0.0,0.0,-0.025605,0.414278,209.273267,medium,https://homefans.com/product/botafogo-matchday-experience-2/
1,🏆 Top Rated | Fluminense Match…,Flamengo Matchday with Transpo…,later_lifecycle,approved_same_city,0,same_city,3,37.842007,174,178,2026-04-10,178,🏆 Top Rated | Fluminense Matchday Experience,https://homefans.com/product/see-fluminense-live-in-the-iconic-maracana/,high,Rio de Janeiro,Brazil,South America,20,2026-04-09,20,34.561642,Flamengo Matchday with Transport & Long Side seats,https://homefans.com/product/flamengos-game-at-maracana-stadium/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.0,0.487,high,Rio de Janeiro,Brazil,South America,1,1,1.619178,0.005747,0,0.0,0.0,0.002726,1.186207,37.842007,medium,https://homefans.com/product/flamengos-game-at-maracana-stadium/
2,🏆 Top Rated | Fluminense Match…,Botafogo FR Matchday Experienc…,lifetime_overlap,approved_same_city,0,same_city,4,16.51987,174,178,2026-04-10,178,🏆 Top Rated | Fluminense Matchday Experience,https://homefans.com/product/see-fluminense-live-in-the-iconic-maracana/,high,Rio de Janeiro,Brazil,South America,12,2026-03-13,12,17.441097,Botafogo FR Matchday Experience,https://homefans.com/product/botafogo-fr-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.329,0.564,high,Rio de Janeiro,Brazil,South America,1,0,0.0,0.0,0,0.0,0.0,0.011066,1.977011,16.51987,low,https://homefans.com/product/botafogo-fr-matchday-experience/
3,🏆 Top Rated | Fluminense Match…,Vasco da Gama Match Experience,lifetime_overlap,approved_same_city,0,same_city,4,12.207662,174,178,2026-04-10,178,🏆 Top Rated | Fluminense Matchday Experience,https://homefans.com/product/see-fluminense-live-in-the-iconic-maracana/,high,Rio de Janeiro,Brazil,South America,5,2026-03-26,5,7.646575,Vasco da Gama Match Experience,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.955,0.386,high,Rio de Janeiro,Brazil,South America,1,0,0.0,0.0,0,0.0,0.0,0.027357,4.744828,12.207662,low,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/
1,Flamengo Matchday Adventure -…,Santa Marta Favela Tour,later_lifecycle,approved_same_city,0,same_city,3,21.860982,169,169,2026-04-13,169,Flamengo Matchday Adventure – Experience our Atmosphere!,https://homefans.com/product/flamengo-matchday-experience-2/,high,Rio de Janeiro,Brazil,South America,5,2026-02-11,5,7.649315,"Santa Marta Favela Tour, Football Game w/ Locals & Traditional Lunch",https://homefans.com/product/santa-marta-favela-tour-football-game-w-locals-traditional-lunch/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.714,0.115,high,Rio de Janeiro,Brazil,South America,1,1,1.260274,0.005917,0,0.0,0.0,0.027954,4.885207,21.860982,medium,https://homefans.com/product/santa-marta-favela-tour-football-game-w-locals-traditional-lunch/
2,Flamengo Matchday Adventure -…,Botafogo Matchday Experience w…,later_lifecycle,approved_same_city,0,same_city,5,181.459174,169,169,2026-04-13,169,Flamengo Matchday Adventure – Experience our Atmosphere!,https://homefans.com/product/flamengo-matchday-experience-2/,high,Rio de Janeiro,Brazil,South America,167,2026-04-13,168,269.446588,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.631,0.251,high,Rio de Janeiro,Brazil,South America,2,1,1.317808,0.005917,0,0.0,0.0,-0.030013,0.292527,181.459174,medium,https://homefans.com/product/botafogo-matchday-experience-2/
3,Flamengo Matchday Adventure -…,SE Palmeiras Matchday Experien…,later_lifecycle,approved_same_country,1,same_country,5,82.134744,169,169,2026-04-13,169,Flamengo Matchday Adventure – Experience our Atmosphere!,https://homefans.com/product/flamengo-matchday-experience-2/,high,Rio de Janeiro,Brazil,South America,57,2026-04-13,57,87.380826,SE Palmeiras Matchday Experience with local fan,https://homefans.com/product/se-palmeiras-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.122,0.691,high,São Paulo,Brazil,South America,2,2,2.736987,0.011834,0,0.0,0.0,-0.003495,0.857054,82.134744,medium,https://homefans.com/product/se-palmeiras-matchday-experience/
1,Botafogo Matchday Experience w…,Vasco da Gama Match Experience,later_lifecycle,approved_same_city,0,same_city,3,24.385047,167,168,2026-04-13,168,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/,high,Rio de Janeiro,Brazil,South America,5,2026-03-26,5,7.646575,Vasco da Gama Match Experience,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.955,0.386,high,Rio de Janeiro,Brazil,South America,1,1,1.616438,0.005988,0,0.0,0.0,0.028199,4.943713,24.385047,medium,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/
2,Botafogo Matchday Experience w…,Santa Marta Favela Tour,later_lifecycle,approved_same_city,0,same_city,3,23.176327,167,168,2026-04-13,168,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/,high,Rio de Janeiro,Brazil,South America,5,2026-02-11,5,7.649315,"Santa Marta Favela Tour, Football Game w/ Locals & Traditional Lunch",https://homefans.com/product/santa-marta-favela-tour-football-game-w-locals-traditional-lunch/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.714,0.115,high,Rio de Janeiro,Brazil,South America,1,1,1.517808,0.005988,0,0.0,0.0,0.028199,4.943713,23.176327,medium,https://homefans.com/product/santa-marta-favela-tour-football-game-w-locals-traditional-lunch/
