working,http_status,curl_exit_code,link_type,url,clean_url,final_url,occurrences,first_base_product,first_suggestion_rank,first_suggestion,checked_at,error
yes,200,0,base_product_url,https://homefans.com/product/benfica-matchday-experience-with-local-fans/,https://homefans.com/product/benfica-matchday-experience-with-local-fans/,https://homefans.com/product/benfica-matchday-experience-with-local-fans/,1,Benfica Matchday Experience wi…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/besiktas-matchday-experience-2/,https://homefans.com/product/besiktas-matchday-experience-2/,https://homefans.com/product/besiktas-matchday-experience-2/,1,Beşiktaş Matchday Experience:…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/betis-sevilla/,https://homefans.com/product/betis-sevilla/,https://homefans.com/product/betis-sevilla/,1,El Gran Derbi: Real Betis v Se…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/boca-juniors-experience-bombonera-tour-museum-caminito-walk/,https://homefans.com/product/boca-juniors-experience-bombonera-tour-museum-caminito-walk/,https://homefans.com/product/boca-juniors-experience-bombonera-tour-museum-caminito-walk/,1,Boca Juniors Experience: Bombo…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/boca-juniors-match-day-experience-2/,https://homefans.com/product/boca-juniors-match-day-experience-2/,https://homefans.com/product/boca-juniors-match-day-experience-2/,1,🎟️🚐 Boca Juniors Game in Secto…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/boca-juniors-matchday-experience-1/,https://homefans.com/product/boca-juniors-matchday-experience-1/,https://homefans.com/product/boca-juniors-matchday-experience-1/,1,Experience Boca Juniors at La…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/boca-juniors-matchday-experience-3/,https://homefans.com/product/boca-juniors-matchday-experience-3/,https://homefans.com/product/boca-juniors-matchday-experience-3/,1,Boca Juniors Matchday Experien…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/boca-juniors-matchday-experience-4/,https://homefans.com/product/boca-juniors-matchday-experience-4/,https://homefans.com/product/boca-juniors-matchday-experience-4/,1,Boca Juniors Matchday Like a L…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/boca-juniors-matchday-experience-lower-sector-few-meters-from-the-field/,https://homefans.com/product/boca-juniors-matchday-experience-lower-sector-few-meters-from-the-field/,https://homefans.com/product/boca-juniors-matchday-experience-lower-sector-few-meters-from-the-field/,1,🏆 Top Rated Boca Experience |…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/boca-juniors-matchday-experience/,https://homefans.com/product/boca-juniors-matchday-experience/,https://homefans.com/product/boca-juniors-matchday-experience/,2,Boca Juniors Popular Matchday…,,,2026-04-20 America/Los_Angeles,
